event_id,type,title,details,date,speaker,description
4.32199E+11,PODCAST,Product Owners in Data Science,Not getting stuck at the POC Stage,21-10-2022,Anna Hannemann,"Outline:

Product managers vs Product owners
Working with recommender systems
Launching a successful product
"
4.14414E+11,WEBINAR,Machine Learning Workflows in Production,The journey from a notebook experiment to a production pipeline,18-10-2022,Krzysztof Szafanek,"Outline:

The road from an idea to the production project powered by machine learning is not always an easy one. One part of that journey is scaling ML experiments to a production pipeline.

In this webinar Krzysztof Szafranek will explain challenges specific to ML experimentation and productionization, then present how they can be tackled at scale, using Zalando's ML platform as an example."
4.29479E+11,PODCAST,Building Data Science Practice,Leading teams through different stages of maturity in small and large organizations,14-10-2022,Andrey Shtylenko,"Outline:

What is Data Science practice
Steps for building it
Different stages of data science practice maturity
Right time to hire juniors and interns"
4.13901E+11,PODCAST,Large-Scale Entity Resolution,Building an open source startup for data integration,12-10-2022,Sonal Goyal,"Outline:

Entity resolution and duplicate detection
Internals of Zingg - an open-source tool for identity and entity resolution
Building an open-source startup"
4.14459E+11,WEBINAR,Data Monetization with Machine Learning,Measuring the monetary impact of ML,11-10-2022,Tomek Jamiński,"We all got used to the truism that it's worth investing in Machine Learning solutions. But what about the ROI? Do we track it or measure its monetary impact? Join me to see how at OLX Groups we are leveraging Machine Learning and Data to deliver value to our customers and how we monetize it.

Outline:

The crucial role of Customer Centricity - is how to think back from the customers and their problems.
Essence of ML value creation - how to turn the customer problem into an ML opportunity.
Cross-functional ecosystem - how to embed AI/ML in the organization to ensure success.
Practical examples - what we have deployed and what we have learned from it.
Key Takeaways."
4.09728E+11,PODCAST,From Data Science to DataOps,The learning process and the minimal operating skills for DataOps,07-10-2022,Tomasz Hinc,Outline: Why do we need DataOps? Going from science to ops The learning process Minimal operating skills for DataOps
4.14474E+11,PODCAST,Data Science Career Development,How managers support career development,30-09-2022,Katie Bauer,"Outline:

What does it mean for someone to be junior vs. senior?
What is different about career growth for junior vs. senior data scientists?
How much responsibility does a manager have for growing someone’s career?
What approaches do you recommend for managers to get better at developing talent?"
3.77157E+11,WEBINAR,A Practical Guide to A/B Testing in MLOps,How to set up a containerized microservice architecture to run A/B tests,27-09-2022,Sadik Bakiu,"Outline:

What is A/B testing
How does A/B testing apply in Machine Learning
Implementing A/B testing with Kubernetes and seldon-core"
4.22218E+11,PODCAST,From Testing Phones to Managing NLP Projects,Studying machine learning and looking for a job,23-09-2022,Alvaro Navas Peire,"Outline:

Quality assurance in the cellphone industry
Learning data science and machine learning
Looking for a job
Managing NLP and ML projects"
4.1261E+11,WORKSHOP,Effective Machine Learning Inside Your Database,Setting up an integrated ML system at the data layer,21-09-2022,Patricio Cerda Mardini (MindsDB),"As an ML engineer, you want to live in a world where you can manage exploration, training, versioning, and inference from one control plane. In-database ML has the potential to make that real.

In this hands-on workshop, we’ll go through all the steps from data preparation, tuning and deployment of custom models with the ML frameworks of your choice through SQL and declarative ML.

We will use MindsDB, an open-source in-database ML platform, that allows developers and data professionals to use the power of AI to ask predictive questions of their data and receive accurate answers from it - in a simple way. Customer behaviour, revenue maximization, production optimization, churn or demand predictions are just a few mission-critical use cases you can easily implement with MindsDB right where your data lives.

We’ll cover the following topics:

Building models quickly with SQL and AutoML
Inferencing your models as database tables using SQL queries
State-of-the-art methods to solve complex time-series problems with ML
Finding your best performing model ensemble with declarative ML
Deploying (via MLFlow and Ray) and inferencing custom ML models as DB tables
Bring your own ML framework to the data layer
And more

By the end of this workshop, you’ll be able to set up an in-database ML pipeline yourself."
3.96423E+11,WEBINAR,Responsible and Explainable AI,Implementing responsible AI while still being profitable,16-09-2022,Supreet Kaur,"Outline:

What’s responsible AI?
Implementing responsible AI while still being profitable
Importance of responsible AI
What are the responsibilities at Data Level so that we can implement responsible AI
What’s common between responsible and explainable AI"
4.11765E+11,WEBINAR,Building the Modern Geospatial Data Stack,From plotting maps in a notebook to maintaining a geospatial data infrastructure,13-09-2022,Ramiro Aznar,"Outline:

The challenges of working with satellite data
How to build a geospatial data infrastructure from scratch
Geospatial data modeling and metrics."
3.48554E+11,WORKSHOP,Data Incident Management with Soda and dbt,Building a solid data pipeline: from transformation to collaboration on data issues ,06-09-2022,Bastien Boutonnet,"In this hands-on workshop, we’ll build an end-to-end data pipeline with dbt and Soda.

We’ll cover the following steps:

Building a transformation pipeline with dbt
Add data quality checks with Soda
Manage data incidents with Soda+dbt integration
By the end of this workshop, you’ll be able to integrate quality checks and incident management to your data transformation pipelines."
3.687E+11,WEBINAR,Probabilistic Demand Forecasting at Scale,Scaling demand forecasting under uncertainty to millions of time series ,30-08-2022,Hagop Dippel,"Outline:

Introduction to demand forecasting in the context of e-commerce logistics.
Review of main probabilistic forecasting techniques.
How can probabilistic demand forecasting enable stochastic downstream applications (human resource planning, inventory optimisation)
Scalable training and inference system which can handle thousands/millions of time series with a cold-start problem.
"
4.01118E+11,PODCAST,Leading Data Research,Solving challenges in science and data as a professor,29-08-2022,David Bader,"Outline:

The role of a professor
Teaching vs research
Research in graph analytics
Cooperating with industry partners"
4.03883E+11,WEBINAR,Feature Selection in Machine Learning with Python,"Build simpler, faster, and more reliable machine learning models",23-08-2022,Soledad Galli,"Outline:

Feature selection is the process of selecting a subset of features from the total variables in a data set to train machine learning algorithms. The aim of any feature selection algorithm is to create classifiers or regression models that run faster and whose outputs are easier to understand by their users.

In this talk, I will discuss some of the most widely used feature selection methods among filter, wrapper, and embedded methods for feature selection. Then, I will mention additional methods that are faster or more scalable. And finally, I will show how to implement feature selection in Python using the open source libraries Scikit-learn, MLXtend, and Feature-engine."
3.94163E+11,PODCAST,Dataset Creation and Curation,Process and tools for cost-effective dataset creation ,19-08-2022, Christiaan Swart,"Outline:

Different ways to collect data
Organizing the process for data collection
Active and distant learning
Finding issues in data"
3.74113E+11,PODCAST,Data Mesh 101,What is Data Mesh and getting started with it,18-08-2022,Zhamak Dehghani,"Outline:

Principles of Data Mesh
Domain ownership principle
Data as a product principle
Self-serve data platforms
Do we always need Data Mesh
"
3.94157E+11,WORKSHOP,Three Stages of Real-Time Data Monitoring,A hands-on workshop to implement validation and monitoring for your data in motion ,16-08-2022,Sage Elliott,"In this hands-on workshop, we’ll cover how to implement your own real-time data validation and monitoring system from start to finish.

Data validation and monitoring are foundational steps to building reliable pipelines, trustworthy data, and responsible ML models.

We’ll tackle the 3 stages of data monitoring:

Reactive: Manual analysis and visualization techniques
Proactive: Implement Data Quality as part of your ML pipelines
Real-time: End-to-end monitoring as data moves through your system
We’ll also discuss important data & ML monitoring concepts:

Data monitoring best practices
How to monitor for data quality & distribution drift
Detecting bias in data and model predictions
By the end of this workshop, you’ll be able to implement data and AI observability into your own pipelines (Kafka, Airflow, Flyte, etc) and ML applications to catch deviations and biases in data or model behavior."
3.9696E+11,PODCAST,Growing Data Engineering Team in a Scale-Up,Building a data infrastructure team in fast-paced environment,12-08-2022,Mehdi OUAZZA,"Outline:

What’s a scale-up?
Work of a data engineer at a start-up vs scale-up vs slow-growth company
Main challenges of working in a fast changing environment
Why join a scale-up?"
3.94172E+11,PODCAST,Lessons Learned About Data & AI at Enterprises,Explaining ML to managers and subject matter experts,05-08-2022,Alexander Hendorf,"Outline:

Explain the working environment: enterprises, how organised and the challenges we face there
Main challenges of explaining ML to managers and departments
Explaining complex things with simple language
Culture and passion for innovations
The best recipe for AI & ML in Enterprises"
3.31699E+11,WEBINAR,Feature Engineering for Time Series Forecasting,"Tips, tricks, and pitfalls to create features from time-series data to build machine learning models for forecasting ",02-08-2022,Kishan Manani,"In this talk we’ll discuss all the tips, tricks, and pitfalls in creating features from time series data to build machine learning models for forecasting.

We will cover:

How to use traditional machine learning for forecasting, we need to convert time series data into tabular data containing useful features and a target variable.
The issues that arise when creating features for forecasting (e.g., look-ahead bias, distributional differences over time, one step vs multistep forecasting).
Feature engineering techniques to build good features for forecasting.
"
3.91505E+11,PODCAST,MLOps Architect,Evangelising best MLOps Practices,29-07-2022,Danny Leybzon,"Outline:

What do MLOps architects do
Becoming an MLOps architect
Main challenges"
3.74115E+11,PODCAST,Decoding Data Science Job Descriptions,Learning about a company before applying,30-06-2022,Tereza Iofciu,"Outline:

Mismatch between expectations and reality
What can we learn from reading a job description
Organization data maturity level
Culture fit checklist"
3.71939E+11,WEBINAR,Speeding up Python Code 500x,Optimizing a Python library for performance and scale,28-06-2022,Jamie Broomall,"Outline:

Why focus on performance? numbers, comparison
How did we speed things up? selective computation
Splitting data into min-batches by type
Processing batches of data in datasketches
Putting it all together: executing in pyspark on a Databricks cluster"
3.70224E+11,PODCAST,Data Science for Social Impact,Using data to address social issues,24-06-2022,Christine Cepelak,"Outline:

Social impact and public policy
Data science for social impact
What kind of organizations need this
"
3.70221E+11,PODCAST,Hiring Data Science Talent,Hiring and building data teams,23-06-2022,Olga Ivina,"Outline:

Qualities needed for a team
Seniority levels. What’s after senior?
Making job descriptions more attractive to female candidates"
3.70204E+11,PODCAST,From Open-Source Maintainer to Founder,Working on open-source full-time,22-06-2022,Will McGugan,"Outline:

Coming up with project ideas
Freelancing and working on open-source
Starting a company to work on open-source
Earning with open-source"
3.58231E+11,WORKSHOP,Best MLOps Practices for Building End-to-End ML Projects,"Train a computer vision model with the Iterative ecosystem of tools (TPI, DVC, CML, and Studio)",21-06-2022,Alex Kim,"About this event
In this workshop, we’ll build an end-to-end Computer Vision system.

We’ll explore an industrial use case of training an image segmentation model for the purposes of defect detection on a manufacturing conveyor belt.

The dataset and the use case are described in this paper.

You’ll learn:

How to quickly configure a remote development environment with TPI: write code locally while executing on a remote machine with a GPU
How to version large datasets and models with DVC
When it’s the right time to move from Jupyter notebooks to ML pipelines and how to do that with DVC
Why it’s beneficial to integrate CI/CD workflows into your model development process and how to do that with CML
How to manage experiments and collaborate on ML projects using Iterative Studio
Target Audience:

Technical folks (e.g. Software Engineers, ML Engineers, Data Scientists) who are familiar with general Machine Learning concepts, Python programming.

Knowledge of CI/CD processes and Cloud infrastructure will be helpful.

Prerequisites:

AWS Account: https://mlbookcamp.com/article/aws
Familiarity with AWS S3 and AWS EC2
Familiarity with GitHub Actions will be helpful: https://github.com/features/actions"
3.65013E+11,PODCAST,Designing a Data Science Organization,To centralize or decentralize?,17-06-2022,Lisa Cohen,"Outline:

Centralized data science team vs embedded data scientists
Pros and cons of the centralized team
Pros and cons of the decentralized team"
3.59129E+11,WEBINAR,Building the End to end Roadmap for your Data,"To have, hold and harness: Building the end to end roadmap for your data",14-06-2022,Mary Jane Dykeman,"Outline:

Compliance with privacy and security requirements is only the entry point.
Find and document the data you hold.
Data quality.
Identify the use cases that would benefit from ML/AI.
Decide whether to build it in-house or crowdsource.
"
3.58238E+11,PODCAST,Developer Advocacy Engineer for Open-Source,Engineering and development advocacy,09-06-2022,Merve Noyan,"Outline:

Difference between development advocacy and development advocacy engineering
Working on open-source projects
Must-have skills for developer advocacy engineers"
3.32507E+11,PODCAST,Data Scientists at Work,Unrealistic expectations from Data Scientists,09-06-2022,Mısra Turp,"Outline:

Work product - What do DS produce?
Unrealistic expectations of DS, Do we need to know everything?
Imposter syndrome"
3.41484E+11,PODCAST,Freelancing and Consulting with Data Engineering,Becoming a freelancer and finding clients,03-06-2022,Adrian Brudaru,"Outline:

Becoming a freelancer in data engineering
Networking and finding clients
Freelancing vs consulting
Selecting the rate
"
3.10271E+11,WEBINAR,Getting a Data Engineering Job,Find and land a job in data engineering ,24-05-2022,Jeff Katz,"Outline:

1. Data engineering and related roles

Analytics Engineer
Data Engineer
Backend Engineer
2. Networking with Data Engineers

3. Data Engineering Interview Process

Cultural Screening
Technical Screening
Take homes"
3.34229E+11,PODCAST,Using Data for Asteroid Mining,Looking for minerals in asteroids and other applications of ML in astronomy,20-05-2022,Daynan Crull,"Outline:

Applications of machine learning and data science for astronomy
Using data for finding asteroids to drill and mine
Data engineering and data science for astronomy data"
3.3509E+11,PODCAST,Machine Learning in Marketing,Solving common marketing problems with data science,13-05-2022,Juan Orduz,"Outline:

Common problems: user acquisition and retention
Measuring success
Getting started with ML in marketing
Bayesian methods for solving marketing problems"
3.18625E+11,WEBINAR,Recommender Systems for Digital Advertising,Digital-Out-Of-Home (DOOH) advertising and evaluation of business impact,10-05-2022,Nataliya Portman,"utline:

1. What is DOOH network and why financial institutions use it?

2. Probabilistic framework for recommendation of financial ads.

3. A combined, survey-based and A/B testing, approach for evaluation of ad performance.

Clustering method for splitting financial institution sites into tests and controls,
Survey-based component (data collection strategy) and business metrics for tracking ad performance."
3.31653E+11,PODCAST,From Academia to Data Analytics and Engineering,Digital-Out-Of-Home (DOOH) advertising and evaluation of business impact,06-05-2022,Gloria Quiceno,"Outline:

Looking for a job after a bootcamp
Getting into data engineering instead of data science"
2.936E+11,WEBINAR,Mitigating Bias with the XAI Toolbox,How to minimize bias in machine learning models?,03-05-2022,Serg Masis,"When trained on sufficiently large datasets, supervised learning can achieve impressive predictive performance. However, despite these outcomes, it can be distributed unevenly. For instance, a credit default model could favor men over women. In this session, we will learn how to measure and mitigate bias on three levels.

"
3.26975E+11,PODCAST,Teaching Data Engineers,Creating courses for data engineer,29-04-2022,Jeff Katz,"Outline:

Teaching at a bootcamp
From teaching data scientists to teaching data engineers
Creating a great data engineering curriculum"
